artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
Tay-K,TRAPMAN,TRAPMAN,6mecZbKK3JDeMdFRNxsCV5,0.792,0.594,2,-8.544,1,0.3,0,0.244,0.351,82.512,232803,4,2020-07-12,43.0
Lil Wyte,Doubt Me Now,Oxy Cotton,5PtMwNq8Dp31uYdGGacVJE,0.816,0.578,9,-6.912,1,0.233,0,0.114,0.265,148.077,193920,4,2003-03-04,61.0
Kamelen,KINGPIN SLIM,Kingpin O.G - Remix,6s8EhlBn2PIoESylkXnwYc,0.649,0.798,0,-6.45,0,0.145,0,0.409,0.717,160.011,254390,4,2019-11-29,22.0
Waka Flocka Flame,Flockaveli,Grove St. Party (feat. Kebo Gotti),2e9EZ2V5QGGZPMJacO3y0Y,0.705,0.702,0,-4.783,0,0.108,0,0.364,0.771,140.059,250493,4,2010-10-01,62.0
Project Pat,Mista Don't Play: Everythangs Workin',Don't Save Her (feat. Crunchy Black),3ZRd5Z0fiYtASLdEPPb16m,0.838,0.793,11,-5.47,0,0.0773,1.49e-06,0.106,0.8,160.003,261933,4,2001-02-13,45.0
Waka Flocka Flame,Flockaveli,Hard in Da Paint,3XQY8kDjI8LARMIC9xkxQk,0.611,0.66,11,-5.883,1,0.0839,0,0.365,0.583,71.544,246387,4,2010-10-01,65.0
Jeezy,Let's Get It: Thug Motivation 101,Soul Survivor,0Ss50OU9tCozI7JIywkv14,0.682,0.483,10,-7.718,1,0.0451,0,0.159,0.108,84.012,280013,4,2005,66.0
Project Pat,Mista Don't Play: Everythangs Workin',Chickenhead (feat. La Chat & Three 6 Mafia),4k5xJOxoJbMW5sdkZGOezj,0.862,0.746,7,-5.729,1,0.259,0,0.142,0.882,156.12,255360,4,2001-02-13,51.0
Lil Jon & The East Side Boyz,Crunkest Hits,Throw It Up,0RGEQZt56cK8cxr2QdG4Ih,0.698,0.592,3,-3.197,1,0.093,0,0.331,0.106,145.977,372973,4,2011-03-15,53.0
Gucci Mane,The State vs. Radric Davis (Deluxe),Lemonade,6rUcS9i07F6okIe8wujs5J,0.741,0.658,7,-7.758,1,0.0853,3.43e-06,0.307,0.746,142.057,246013,4,2009-12-04,61.0
Mike Jones,Who Is Mike Jones?,Still Tippin' (feat. Slim Thug and Paul Wall),59rtiYOPgMEDf3yPEfU2la,0.86,0.861,6,-7.131,0,0.307,4.07e-05,0.113,0.79,143.184,271053,4,2005-04-19,64.0
Birdman,Like Father Like Son,Stuntin' Like My Daddy - Street,3rMyMv8EjKXoPnaRo2hdJN,0.71,0.881,5,-6.648,0,0.0398,0,0.162,0.809,160.011,267293,4,2006-01-01,58.0
Lil' Troy,Sittin' Fat Down South,Wanna Be A Baller,6lEIjrQNwJPecJ7mMXjhjo,0.871,0.648,10,-7.825,0,0.278,0,0.2,0.629,92.296,355067,4,1998,64.0
Young Buck,Straight Outta Cashville,Shorty Wanna Ride,6Y9kdB2O0h9gq9y2vclsWT,0.582,0.621,11,-6.183,0,0.283,0,0.111,0.331,179.458,261320,4,2004-01-01,58.0
Roscoe Dash,Ready Set Go!,All The Way Turnt Up,4YAtIop3U0HsJ7jE94BCmX,0.512,0.965,11,-2.862,0,0.0842,0,0.264,0.743,132.007,293720,4,2010-01-01,52.0
Big Tymers,Hood Rich,Still Fly,563vSy3HB5NHxel1VGQCW6,0.675,0.607,11,-3.538,1,0.162,8.97e-06,0.339,0.56,177.928,335613,4,2002-01-01,62.0
Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0,0.241,0.361,131.497,263773,4,2010-10-01,75.0
Jim Jones,Hustler's P.O.M.E. (Product Of My Environment),We Fly High,3RGyFugqjQjlL8XX0NW8dZ,0.506,0.799,1,-6.58,1,0.38,0,0.0929,0.461,120.405,236080,5,2006-11-07,56.0
Lil' Flip,U Gotta Feel Me,Game Over,79lmvU7Qmc8QpXilbSk37z,0.813,0.59,8,-8.998,1,0.378,5.07e-05,0.0809,0.602,159.961,232467,4,2004-03-30,52.0
Paul Wall,Get Money Stay True (Explicit U.S. Version),I'm Throwed (feat. Jermaine Dupri),3n5rIcC04MiNx4T2GOS06g,0.739,0.777,4,-5.7,0,0.239,0,0.134,0.756,82.01,231307,4,2007-04-02,47.0
Young Dro,Best Thang Smokin' (Explicit Version),Shoulder Lean (feat. T.I.),2OqYarizUUGzSSNHPrDEii,0.7,0.518,4,-7.191,0,0.177,0,0.1,0.542,75.973,258680,4,2006-06-27,57.0
Crime Mob,Crime Mob (U.S. PA Version),Knuck If You Buck (feat. Lil' Scrappy),0RZXNlGPvfMo54fd6uCvAT,0.865,0.844,8,-4.946,1,0.311,0,0.373,0.755,150.09,205120,4,2004-07-13,60.0
David Banner,The Greatest Story Ever Told,Get Like Me,2IBF9lQ9lgVai8LkskI5L7,0.609,0.751,1,-4.198,1,0.488,0,0.228,0.653,60.896,224547,3,2008,57.0
Boosie Badazz,Survival Of The Fittest,"Wipe Me Down (feat. Foxx, Webbie & Lil Boosie) - Remix",6D1CstH1YvzNN8cPd9ay9Q,0.836,0.906,1,-2.902,1,0.279,0,0.227,0.718,165.091,272347,4,2007-05-15,60.0
JUVENILE,400 Degreez,Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,0.874,0.714,7,-6.664,1,0.129,0,0.0968,0.541,95.826,265600,4,1998-01-01,67.0
Various Artists,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,No Problem,0EgigrGFGb4PHaVNb7fgK7,0.858,0.731,1,-7.224,1,0.237,0,0.15,0.139,85.984,214213,4,2009-08-21,55.0
Nelly,Nelly Party Anthems,Grillz,6zS6zUoWh8QluIZ2lv9tWb,0.865,0.514,4,-7.251,0,0.241,0,0.255,0.822,82.987,271240,4,2020-06-26,58.0
Gucci Mane,Hard to Kill,Freaky Girl,5wTV2aPLlM3nB3GmEMiXZb,0.761,0.626,7,-2.862,1,0.0522,2.71e-05,0.121,0.663,147.019,225293,4,2006-10-10,46.0
T.I.,Trap Muzik,Rubber Band Man,5Rkbnhwkb6oiqq1HQcXirN,0.601,0.768,8,-5.712,1,0.386,0,0.482,0.634,152.45,347507,4,2003-08-18,52.0
Various Artists,Down South Slangin' Volume 44,Stuntin' Is A Habit,4zh5aVAWAKkeXTmXPkQ7uL,0.867,0.611,2,-6.483,1,0.294,0,0.559,0.575,88.27,220760,4,2007-06-01,50.0
Nelly,Nellyville,Air Force Ones,7kAFSrTIOiVZ0gnHBuAH3l,0.784,0.459,4,-9.74,0,0.317,0,0.079,0.618,164.062,304000,4,2002-06-25,61.0
JUVENILE,Juve The Great,Slow Motion,6ihObRBTB8xdSH2mlERtOX,0.713,0.734,0,-4.894,0,0.325,0,0.0687,0.89,172.872,248200,4,2003-01-01,64.0
Dem Franchize Boyz,On Top Of Our Game,"Lean Wit It, Rock Wit It",7cVmKBwzPsh4Fmb6SplfEm,0.886,0.62,5,-5.854,1,0.307,0,0.1,0.6,76.035,229813,4,2006-01-01,60.0
Murphy Lee,Murphy's Law,Wat Da Hook Gon Be - Dirty,6njG8EYG1lrROn8P6q46eq,0.927,0.596,10,-7.058,0,0.301,0,0.283,0.914,94.997,224667,4,2003-01-01,49.0
Trick Daddy,THUGS ARE US,I'm a Thug,6j2aNuhJJUnRj6UHcvn5PI,0.933,0.562,11,-5.963,1,0.122,0,0.102,0.587,139.981,254400,4,2001-03-20,57.0
Trillville,Neva Eva,Neva Eva (feat. Lil Scrappy & Lil Jon),6QwwsJC57SitPcWuyEpuwd,0.777,0.81,7,-4.968,1,0.0462,0,0.0861,0.787,78.021,276320,4,2003-09-02,47.0
Crime Mob,Hated On Mostly,Rock Yo Hips,76dZuMVXjIyLPRLv00skGd,0.847,0.667,6,-5.7,1,0.17,0,0.443,0.707,77.492,226547,4,2007-01-08,55.0
Lil' Flip,Undaground Legend (Explicit),The Way We Ball,5FEBritagmW6iAy5wL5uXg,0.594,0.635,4,-4.259,0,0.47,0,0.454,0.552,75.035,283733,4,2002-08-27,44.0
Huey,Notebook Paper,"Pop, Lock & Drop It (feat. Bow Wow & T-Pain) - Remix",6nbRXoZJAWlHtnWcPAY9Or,0.802,0.689,0,-6.264,1,0.343,0,0.415,0.838,144.096,269973,4,2006,46.0
Bubba Sparxxx,Ms. New Booty,Ms. New Booty,0k6HUzaRHpQ3eEWr1C7Esh,0.64,0.62,1,-5.931,1,0.416,0,0.0831,0.609,129.37,252653,5,2005-01-01,62.0
Hurricane Chris,A Bay Bay,A Bay Bay,6MnFB3qurhmGs1xdjrz5Bg,0.577,0.668,6,-4.884,1,0.514,0,0.0924,0.702,60.709,257120,3,2007-06-19,53.0
Huey,"Pop, Lock & Drop It","Pop, Lock & Drop It",19UUPNx5jccGgQ2GCIZkww,0.745,0.568,0,-8.332,1,0.164,0,0.159,0.494,144.142,263240,4,2006-09-19,51.0
Ludacris,Back For The First Time,What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,0.915,0.79,6,-3.186,0,0.207,0,0.112,0.967,140.095,275907,4,2000-01-01,63.0
