,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,$uicideBoy$,LIVE FAST DIE WHENEVER,2019-05-24,DON'T TRUST ANYONE! ($UICIDEBOY$ X TRAVIS BARKER),0hQKr3CzjSchSyriQbBAJf,55,"G59 Records, LLC",0.756,0.76,4,-4.912,1,0.0493,0.00172,0.498,0.256,104.986,140000,4,True,49.0,1.0,3.0,3TSr9PtbSLkZ7OiSQg0nQQ,single
1,The Underachievers,Lords of Flatbush 3,2019-06-21,Packs,4swk5pZNN83J5DV9jFaTvj,42,Slang Music,0.803,0.802,0,-6.047,1,0.25,0.0,0.32,0.453,120.021,224802,4,True,32.0,1.0,4.0,2pDcIfEalDH8pSNqh8P74c,album
2,Night Lovell,Jamie's Sin,2017-10-26,Jamie's Sin,3IwYinsKsM5EUJhEJWwZ0a,49,Night Lovell,0.811,0.144,0,-11.87,1,0.16,0.778,0.111,0.319,124.012,154839,4,True,56.0,1.0,1.0,7hI5jZoHFrszORkcgOPEe0,single
3,Night Lovell,GOODNIGHT LOVELL,2019-02-22,WATCH ME,1VAFud1nSkqa7efJBxONAz,71,SCPP,0.879,0.591,1,-6.194,1,0.149,0.118,0.123,0.0748,134.99,142222,4,True,49.0,1.0,8.0,4sA7IyvdIFpeOPBftpjetk,album
4,BONES,UnderTheWillowTree,2019-05-03,RedRover,3YreXzJAZRrchO72v5G5K9,51,TeamSESH,0.552,0.598,6,-9.529,0,0.0983,0.139,0.0805,0.442,77.567,123625,4,True,46.0,1.0,3.0,1H9j7RDcI6mLtbnRbJX23F,album
5,Killstation,Filth,2016-07-02,Filth,3jnTBMdckWNzC7PJV96kQ1,48,Killstation,0.476,0.825,6,-3.941,1,0.0379,6.51e-05,0.115,0.43,84.149,111491,3,False,55.0,1.0,1.0,0uqp5ORszsl2imBVyz4UJJ,single
6,Ghostemane,Blackmage,2016-07-03,Leprosy,6EsD4Nftf5bXirZz4qydi3,65,GHOSTEMANE,0.885,0.425,10,-10.4,1,0.0885,0.811,0.193,0.0615,144.949,149300,4,True,52.0,1.0,5.0,0DdnuauBuHPfG8Y1pAmYVf,album
7,Boosie Badazz,BooPac,2017-12-15,Real Shooter,4pkQnLMwHHfA9CD0mkGcHw,46,Atlantic/Trill,0.643,0.717,1,-7.035,1,0.306,0.0,0.124,0.498,130.102,236627,4,True,28.0,1.0,2.0,6ccdj4bNPK7GoYwBoVjXXD,album
8,Ramirez,The Bodies Fall Just Like the Leaves,2016-12-03,The Bodies Fall Just Like the Leaves,27H0ZfxRxOC97n72akzapS,34,G59 Records,0.835,0.559,5,-5.617,1,0.0327,5.5e-05,0.116,0.267,133.052,144812,4,True,41.0,1.0,1.0,5xggV4lP5azYV4stAe9iLN,single
9,Scarlxrd,ASK,2019-07-04,ASK,0DSyoNpXX36Yid9inDzxiT,0,Universal-Island Records Ltd.,0.707,0.835,3,-1.105,0,0.039,0.0,0.365,0.306,99.985,227364,4,True,0.0,1.0,1.0,55VVUGm84WBRORMZcT0AHh,single
