artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
Snoop Dogg,The Best Of Snoop Dogg,Bitch Please,1YrHyDbH17btvI2rFTkbCQ,0.863,0.771,7,-2.77,1,0.19,0,0.288,0.812,95.029,234733,4,2005-01-01,52.0
The Game,The Documentary,How We Do,6mZcNu9i8uhOYMiEAyEx81,0.862,0.648,4,-7.401,0,0.251,0,0.0332,0.637,98.012,235533,4,2005,0.0
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),6GgPsuz0HEO0nrO2T0QhDv,0.76,0.595,1,-6.366,1,0.0391,0,0.241,0.361,131.497,263773,4,2010-09-06,58.0
Kanye West,My Beautiful Dark Twisted Fantasy,Gorgeous,1yhQGEykn7ZTNLwcIjOAwZ,0.582,0.737,1,-3.477,0,0.0356,8.04e-05,0.181,0.122,91.914,357653,4,2010-01-01,0.0
JAY-Z,The Hits Collection Volume One [International Version (Explicit)],99 Problems,4HsL5A46wa0O2jQ0ngj3H7,0.478,0.955,6,-0.905,0,0.38,0,0.0599,0.505,87.522,235467,4,2010-11-22,38.0
DMX,The Best Of DMX,Where The Hood At,0LvwrCJtecLr9mnS0h0k7U,0.494,0.943,5,-3.704,0,0.363,0,0.335,0.797,185.982,287427,4,2010-01-01,0.0
Dr. Dre,2001 (Explicit Version),Forgot About Dre,0Zh5U48tZNeAzzLTV1CVBE,0.925,0.737,8,-1.292,1,0.0777,0,0.169,0.603,133.946,222240,4,1999-11-16,0.0
The Game,Hate It Or Love It,Hate It Or Love It,6gQaf0ANLks2uWl2AHhU26,0.796,0.782,9,-4.805,1,0.21,0,0.13,0.418,99.978,207440,4,2005-01-01,47.0
Terror Squad,True Story,Lean Back,6H7w7e8zC8QYJyqe7fZHVa,0.799,0.916,1,-3.344,1,0.471,0,0.0746,0.697,126.687,247427,5,2004-01-01,0.0
Bone Thugs-N-Harmony,Strength & Loyalty,I Tried,26EFsr6FP5b2Y2aGvn0SCd,0.727,0.71,4,-6.142,1,0.0742,0,0.107,0.378,81.995,287480,4,2007,0.0
50 Cent,Get Rich Or Die Tryin',If I Can't,6mcu7D7QuABVwUGDwovOEh,0.886,0.626,11,-2.528,0,0.277,0,0.024,0.856,93.989,196627,4,2003-02-06,67.0
Fat Joe,Make It Rain,Make It Rain - Feat. Lil Wayne,185wFmHycj2zqxOtlga2k6,0.754,0.717,11,-3.802,0,0.233,0,0.0665,0.718,149.277,253107,4,2006,0.0
Snoop Dogg,Drop It Like It's Hot (International Version),Drop It Like It's Hot,4Tyv7nnNTHC6mR1pTubIrw,0.912,0.553,1,-4.716,1,0.205,0,0.102,0.62,91.991,270467,4,2004-01-01,0.0
Ice Cube,"Laugh Now, Cry Later",Smoke Some Weed,7uE5g6xnf80YRfavpReowD,0.741,0.849,8,-4.407,1,0.242,0.00449,0.104,0.485,85.96,226520,4,2006-01-01,52.0
Kanye West,Graduation (Alternative Business Partners),Homecoming,1inwRCAEYHy6e7J0y1nnHx,0.667,0.747,1,-7.059,1,0.189,0,0.115,0.918,86.917,203493,4,2007-09-11,27.0
OutKast,Stankonia,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4,-5.946,0,0.269,0,0.0771,0.613,94.948,270507,4,2000-10-31,81.0
Ja Rule,R.U.L.E.,The Manual,1buaFJQO7Hze2c2OvfLEJg,0.753,0.668,1,-4.927,1,0.228,0,0.141,0.696,94.984,257747,4,2004-01-01,0.0
Various Artists,R'n'B Allstars,Break Ya Neck,2QbMbzEo18oUOD7GF95lWW,0.826,0.79,4,-7.555,0,0.242,0.00251,0.0614,0.739,83.014,231667,4,2003-01-13,40.0
50 Cent,Get Rich Or Die Tryin',Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,0.653,0.826,6,-2.93,0,0.354,0.00146,0.131,0.416,108.52,256227,5,2003-02-06,67.0
Cam’ron,Purple Haze,Down And Out,5mEwhCsqadBZIE7SSrv1gC,0.74,0.841,6,-2.891,0,0.237,0,0.111,0.673,83.007,248627,4,2004-01-01,56.0
Jeezy,The Recession,My President,38wGGpDFVor3ozb3eaJMnj,0.564,0.773,6,-6.568,0,0.115,0,0.328,0.588,151.975,329813,4,2008-01-01,0.0
Snoop Dogg,Malice 'N Wonderland,1800,1U90lN66HMHdsAGqMR6QLM,0.869,0.666,1,-7.102,1,0.208,0,0.621,0.467,100.013,215573,4,2009-01-01,31.0
Rick Ross,Trilla,Speedin',4Q36wbhCO1X06hqEwzooBo,0.668,0.787,1,-4.226,1,0.0418,0,0.21,0.481,100.065,204960,4,2008-01-01,0.0
DJ Khaled,We Global,Out Here Grindin',5hwbPwAoY2BDm0XBtGAx0H,0.625,0.792,11,-3.059,1,0.233,0,0.436,0.347,175.973,237240,4,2008-09-16,10.0
The Game,Red Nation (Explicit Version),Red Nation,6KUGw38g1qbc7VxBn2PCoU,0.373,0.897,2,-3.187,1,0.389,0,0.371,0.282,175.969,230013,4,2011-04-15,0.0
Snoop Dogg,Tha Blue Carpet Treatment,That's That Shit,6Gik13pCV7FNysMG8p3EDj,0.866,0.63,9,-4.795,0,0.172,0,0.036,0.75,82.044,257640,4,2006-01-01,0.0
The Game,The R.E.D. Album,Martians Vs Goblins,23kyUPJdiHQwmAH4NfCGvf,0.476,0.81,4,-3.414,0,0.265,0,0.568,0.642,83.309,228827,4,2011-01-01,0.0
DMX,The Best Of DMX,Get It On The Floor,25Ril0FCw9THikD42bdOI7,0.795,0.789,1,-4.661,1,0.117,2.8e-06,0.0793,0.597,94.218,263707,4,2010-01-01,0.0
Ludacris,Word Of Mouf,Move Bitch,77dC7dKzMm65Y9jkJs0Ssd,0.777,0.764,1,-5.682,1,0.14,0,0.103,0.174,177.868,270867,4,2001-01-01,0.0
Kanye West,My Beautiful Dark Twisted Fantasy,POWER,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0,0.113,0,0.744,0.576,153.993,292093,4,2010-11-22,78.0
Eminem,The Eminem Show,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0,0.0816,0.1,171.447,297787,4,2002-05-26,84.0
Various Artists,Kanye West Presents Good Music Cruel Summer,Mercy.1,3U8Ev1gISsx6O1uwpsttOD,0.731,0.624,6,-5.761,0,0.311,3.37e-05,0.305,0.528,140.131,326347,4,2012-01-01,54.0
Meek Mill,House Party (feat. Young Chris),House Party (feat. Young Chris),646iHsrMsAeI48Z2qU8WKf,0.492,0.902,8,-2.715,0,0.308,0,0.877,0.591,161.219,261040,4,2011-10-19,48.0
J. Cole,Cole World: The Sideline Story,Rise and Shine,6z1z7D2WcyVWkRAr2UVbt5,0.425,0.768,9,-5.969,1,0.272,0,0.19,0.274,81.337,274960,4,2011-09-23,0.0
Tyga,Careless World: Rise Of The Last King,Faded,2NRUU0gP1d8Yif8CpsCW8l,0.831,0.667,1,-8.438,1,0.188,0,0.35,0.339,95.073,206667,4,2012-01-01,59.0
Jeezy,TM:103 Hustlerz Ambition (Deluxe),I Do,7kbgzSYR7X9FkzIeUFkviQ,0.592,0.815,8,-7.638,0,0.349,0,0.0877,0.621,72.466,311640,4,2011-01-01,45.0
Various Artists,2 Fast 2 Furious (Soundtrack),Act A Fool,2ABUUwQ1E5gHkhk0uckzgo,0.573,0.906,9,-2.408,1,0.325,0,0.183,0.775,110.64,270733,5,2003-01-01,0.0
Kanye West,808s & Heartbreak (Softpak),Heartless,53gcDgFyqqpvCzXWrnFZpH,0.79,0.647,10,-5.983,0,0.136,0,0.248,0.654,87.999,211000,4,2008-11-24,0.0
Jeremih,All About You,Down On Me,0wpbHnOW0zVUtV10LSj9c9,0.7,0.598,2,-7.783,1,0.114,0,0.111,0.594,160.041,228453,4,2010-01-01,0.0
Wale,Ambition (Deluxe Version),Ambition (feat. Meek Mill & Rick Ross),7McmbPrf2xXU9zypHOb1y9,0.42,0.744,8,-5.033,1,0.396,8.54e-06,0.192,0.324,161.792,302547,4,2011-10-28,33.0
DMX,...And Then There Was X,Here We Go Again,5GVcTHW9AUigE3UIisgru3,0.797,0.515,7,-5.981,1,0.274,0,0.13,0.209,91.898,232933,4,1999-01-01,0.0
DMX,...And Then There Was X,What's My Name,31B5X9fgkpcHxT9D4pRvTp,0.647,0.98,7,-3.463,1,0.356,8.56e-05,0.045,0.399,188.309,232333,5,1999-01-01,0.0
Busta Rhymes,Back On My B.S.,Respect My Conglomerate,6y0UHi7IYWK18BXezmr01G,0.718,0.647,6,-4.753,1,0.31,0.000161,0.51,0.452,93.037,214413,4,2009,32.0
Busta Rhymes,Back On My B.S.,Don't Believe Em,1ajsHJVZtBAnJcPxP2rhO8,0.77,0.864,1,-5.277,1,0.224,0,0.0441,0.569,129.975,229160,4,2009,22.0
Ludacris,Battle Of The Sexes (Deluxe),How Low,2h2cAPusMxOVTMUHfBRLJK,0.784,0.498,1,-6.977,1,0.0533,1.23e-06,0.224,0.418,143.96,201587,4,2010-01-01,0.0
Ludacris,Battle Of The Sexes (Deluxe),My Chick Bad,4CcQrjClDw3PlxRGjcJmeu,0.624,0.723,1,-6.782,1,0.378,0,0.483,0.757,84.789,216933,4,2010-01-01,0.0
50 Cent,Best Of 50 Cent,Window Shopper,1N9JazWqQEGOtcDfL0IAaK,0.534,0.63,5,-7.048,0,0.191,0,0.489,0.484,174.199,190293,4,2017-03-31,0.0
Busta Rhymes,The Big Bang,Touch It - Album Version/Vocal Up,1xLJLpfyQmQtEfF9qeO0DK,0.658,0.551,1,-6.62,1,0.37,0.000108,0.197,0.442,138.335,214960,5,2006-01-01,0.0
Busta Rhymes,The Big Bang,New York Shit - Album Version (Explicit w/o Shoutouts),15NwjeyttMT4KH5rZUlrYC,0.518,0.89,2,-4.978,1,0.351,9.03e-05,0.474,0.521,99.471,181680,4,2006-01-01,0.0
Kanye West,The College Dropout (Explicit),All Falls Down,4FHu9bOzBjZurx89CMa42L,0.657,0.734,8,-4.832,0,0.484,0,0.139,0.434,91.03,223507,4,2004-01-01,1.0
Kanye West,The College Dropout (Explicit),Breathe In Breathe Out,3pJ0avSP15CvCwgNcTfZJo,0.636,0.7,1,-3.099,0,0.421,0,0.161,0.924,88.817,246933,4,2004-01-01,0.0
Cam’ron,Come Home With Me,Oh Boy,3sgTiqsN5eNNGTBl1VsO44,0.762,0.776,11,-5.623,1,0.196,0,0.0959,0.796,83.02,204707,4,2002-01-01,0.0
Nelly,Country Grammar,Country Grammar (Hot Shit),5pZrTiyyerSGHUJExDCOxZ,0.865,0.664,2,-6.822,1,0.108,0,0.142,0.565,162.831,287000,4,2000-06-27,0.0
Rick Ross,Deeper Than Rap,Usual Suspects,5Ni3klgbZYHBRY9lpfPWi8,0.665,0.665,6,-5.813,0,0.223,0,0.714,0.461,88.839,314853,4,2009-01-01,0.0
Rick Ross,Deeper Than Rap,Maybach Music 2,0KJFZSkCgqStBOmuIrpPzx,0.335,0.769,4,-6.844,0,0.377,0,0.322,0.334,77.275,299867,4,2009-01-01,0.0
